id,city,anchor_account_id,slot,count
36935459,北京市,349740505,2022-03-01 03:07,23
36935460,北京市,349740505,2022-03-01 03:08,29
36935461,北京市,349740505,2022-03-01 03:09,23
36935462,北京市,349740505,2022-03-01 03:10,16
36935463,北京市,349740505,2022-03-01 03:11,23
36935464,北京市,349740505,2022-03-01 03:12,28
36935465,北京市,349740505,2022-03-01 03:13,17
36935466,北京市,349740505,2022-03-01 03:14,41
36935467,北京市,349740505,2022-03-01 03:15,41
36935468,北京市,349740505,2022-03-01 03:16,36
36935469,北京市,349740505,2022-03-01 03:17,28
36935470,北京市,349740505,2022-03-01 03:18,29
36935471,北京市,349740505,2022-03-01 03:19,30
36935472,北京市,349740505,2022-03-01 03:20,28
36935473,北京市,349740505,2022-03-01 03:21,17
36935474,北京市,349740505,2022-03-01 03:22,32
36935475,北京市,349740505,2022-03-01 03:23,22
36935476,北京市,349740505,2022-03-01 03:24,22
36935477,北京市,349740505,2022-03-01 03:25,38
36935478,北京市,349740505,2022-03-01 03:26,37
36935479,北京市,349740505,2022-03-01 03:27,20
36935480,北京市,349740505,2022-03-01 03:28,27
36935481,北京市,349740505,2022-03-01 03:29,33
36935482,北京市,349740505,2022-03-01 03:30,20
36935483,北京市,349740505,2022-03-01 03:31,30
36935484,北京市,349740505,2022-03-01 03:32,25
36935485,北京市,349740505,2022-03-01 03:33,35
36935486,北京市,349740505,2022-03-01 03:34,21
36935487,北京市,349740505,2022-03-01 03:35,34
36935488,北京市,349740505,2022-03-01 03:36,21
36935489,北京市,349740505,2022-03-01 03:37,20
36935490,北京市,349740505,2022-03-01 03:38,29
36935491,北京市,349740505,2022-03-01 03:39,23
36935492,北京市,349740505,2022-03-01 03:40,32
36935493,北京市,349740505,2022-03-01 03:41,27
36935494,北京市,349740505,2022-03-01 03:42,30
36935495,北京市,349740505,2022-03-01 03:43,26
36935496,北京市,349740505,2022-03-01 03:44,34
36935497,北京市,349740505,2022-03-01 03:45,27
36935498,北京市,349740505,2022-03-01 03:46,19
36935499,北京市,349740505,2022-03-01 03:47,31
36935500,北京市,349740505,2022-03-01 03:48,31
36935501,北京市,349740505,2022-03-01 03:49,23
36935502,北京市,349740505,2022-03-01 03:50,40
36935503,北京市,349740505,2022-03-01 03:51,24
36935504,北京市,349740505,2022-03-01 03:52,23
36935505,北京市,349740505,2022-03-01 03:53,22
36935506,北京市,349740505,2022-03-01 03:54,16
36935507,北京市,349740505,2022-03-01 03:55,21
36935508,北京市,349740505,2022-03-01 03:56,32
36935509,北京市,349740505,2022-03-01 03:57,27
36935510,北京市,349740505,2022-03-01 03:58,20
36935511,北京市,349740505,2022-03-01 03:59,24
36935512,北京市,349740505,2022-03-01 04:00,14
36935513,北京市,349740505,2022-03-01 04:01,18
36935514,北京市,349740505,2022-03-01 04:02,20
36935515,北京市,349740505,2022-03-01 04:03,25
36935516,北京市,349740505,2022-03-01 04:04,35
36935517,北京市,349740505,2022-03-01 04:05,22
36935518,北京市,349740505,2022-03-01 04:06,15
36935519,北京市,349740505,2022-03-01 04:07,21
36935520,北京市,349740505,2022-03-01 04:08,16
36935521,北京市,349740505,2022-03-01 04:09,18
36935522,北京市,349740505,2022-03-01 04:10,19
36935523,北京市,349740505,2022-03-01 04:11,12
36935524,北京市,349740505,2022-03-01 04:12,23
36935525,北京市,349740505,2022-03-01 04:13,18
36935526,北京市,349740505,2022-03-01 04:14,21
36935527,北京市,349740505,2022-03-01 04:15,24
36935528,北京市,349740505,2022-03-01 04:16,19
36935529,北京市,349740505,2022-03-01 04:17,21
36935530,北京市,349740505,2022-03-01 04:18,19
36935531,北京市,349740505,2022-03-01 04:19,22
36935532,北京市,349740505,2022-03-01 04:20,16
36935533,北京市,349740505,2022-03-01 04:21,22
36935534,北京市,349740505,2022-03-01 04:22,27
36935535,北京市,349740505,2022-03-01 04:23,35
36935536,北京市,349740505,2022-03-01 04:24,26
36935537,北京市,349740505,2022-03-01 04:25,35
36935538,北京市,349740505,2022-03-01 04:26,38
36935539,北京市,349740505,2022-03-01 04:27,32
36935540,北京市,349740505,2022-03-01 04:28,26
36935541,北京市,349740505,2022-03-01 04:29,35
36935542,北京市,349740505,2022-03-01 04:30,29
36935543,北京市,349740505,2022-03-01 04:31,35
36935544,北京市,349740505,2022-03-01 04:32,39
36935545,北京市,349740505,2022-03-01 04:33,27
