date,y
2021-05-30,0.022067999999999997
2021-05-31,0.027634
2021-06-01,0.0332
2021-06-02,0.0347
2021-06-03,0.024036000000000002
2021-06-04,0.024412
2021-06-05,0.030852
2021-06-06,0.030896
2021-06-07,0.033771999999999996
2021-06-08,0.036648
2021-06-09,0.039524000000000004
2021-06-10,0.0424
2021-06-11,0.0414
2021-06-12,0.0403
2021-06-13,0.031731999999999996
2021-06-14,0.040083999999999974
2021-06-15,0.040423999999999974
2021-06-16,0.041231999999999956
2021-06-17,0.04251999999999996
2021-06-18,0.04530799999999996
2021-06-19,0.046115999999999976
2021-06-20,0.04641599999999998
2021-06-21,0.046296
2021-06-22,0.04042599999999999
2021-06-23,0.03455599999999998
2021-06-24,0.03229999999999998
2021-06-25,0.0483
2021-06-26,0.0514
2021-06-27,0.04393599999999998
2021-06-28,0.046992
2021-06-29,0.050364
2021-06-30,0.051519999999999996
2021-07-01,0.052056000000000005
